fund_name,Company,company_geography,sector_level_3,record_date,nav_at_rd,investment_date,at_entry_ev,at_entry_ebidta,at_rd_ev,at_rd_ebidta
Fund III,Company 1,United States of America,"Electronic Equipment, Instruments & Components",30/09/2023,425.2975998,01/06/2021,560.45,84.48,1042.8,139.44
Fund III,Company 1,United States of America,"Electronic Equipment, Instruments & Components",30/06/2023,313.6543769,01/06/2021,560.45,84.48,855.84,117.96
Fund III,Company 1,United States of America,"Electronic Equipment, Instruments & Components",31/03/2023,274.930495,01/06/2021,560.45,84.48,775.8,112.8
Fund III,Company 1,United States of America,"Electronic Equipment, Instruments & Components",31/12/2022,240.9023642,01/06/2021,560.45,84.48,740.88,105.6
Fund III,Company 1,United States of America,"Electronic Equipment, Instruments & Components",30/09/2022,216.5732727,01/06/2021,560.45,84.48,711.12,97.08
Fund III,Company 1,United States of America,"Electronic Equipment, Instruments & Components",30/06/2022,223.9568922,01/06/2021,560.45,84.48,676.32,97.8
Fund III,Company 1,United States of America,"Electronic Equipment, Instruments & Components",31/03/2022,166.25,01/06/2021,560.45,84.48,599.88,101.4
Fund III,Company 1,United States of America,"Electronic Equipment, Instruments & Components",31/12/2021,166.25,01/06/2021,560.45,84.48,616.2,99.6
Fund III,Company 1,United States of America,"Electronic Equipment, Instruments & Components",30/09/2021,166.25,01/06/2021,560.45,84.48,655.8437164,100.2
Fund III,Company 1,United States of America,"Electronic Equipment, Instruments & Components",30/06/2021,166.25,01/06/2021,560.45,84.48,622.4837164,104.64
Fund III,Company 2,United States of America,Commercial Services & Supplies,30/09/2023,288.7260283,28/08/2023,2397.67,324.5,2572.68,354
Fund III,Company 3,United States of America,Energy Equipment & Services,30/09/2023,187.7806689,19/01/2023,304.48,31.24,374.52,42.6
Fund III,Company 3,United States of America,Energy Equipment & Services,30/06/2023,142.5,19/01/2023,304.48,31.24,329.16,39.12
Fund III,Company 3,United States of America,Energy Equipment & Services,31/03/2023,142.5,19/01/2023,304.48,31.24,333.24,36.72
Fund III,Company 4,United States of America,Chemicals,30/09/2023,251.6963972,01/11/2021,803.88,113.96,968.76,121.56
Fund III,Company 4,United States of America,Chemicals,30/06/2023,254.9729947,01/11/2021,803.88,113.96,974.64,122.28
Fund III,Company 4,United States of America,Chemicals,31/03/2023,251.2819588,01/11/2021,803.88,113.96,947.04,117.12
Fund III,Company 4,United States of America,Chemicals,31/12/2022,247,01/11/2021,803.88,113.96,942.6,118.92
Fund III,Company 4,United States of America,Chemicals,30/09/2022,247,01/11/2021,803.88,113.96,923.52,121.08
Fund III,Company 4,United States of America,Chemicals,30/06/2022,247,01/11/2021,803.88,113.96,902.4,124.8
Fund III,Company 4,United States of America,Chemicals,31/03/2022,247,01/11/2021,803.88,113.96,869.04,121.44
Fund III,Company 4,United States of America,Chemicals,31/12/2021,247,01/11/2021,286,112.2,312,122.4
Fund III,Company 5,United States of America,Chemicals,30/09/2023,223.5112728,01/05/2021,274.78,29.15,639.96,70.44
